rating,timestamp,user_id,movie_id
3,881250949,195,241
3,891717742,185,301
1,878887116,21,376
2,880606923,243,50
1,886397596,165,345
4,884182806,297,473
2,881171488,114,264
5,891628467,252,464
3,886324817,304,450
3,883603013,5,85
2,879372434,61,256
5,879781125,285,1013
5,876042340,199,221
3,891035994,209,39
3,888104457,223,28
3,879485318,302,784
5,879270459,121,386
2,879539794,193,273
4,874834944,290,1041
2,892079237,233,1183
4,886176814,118,391
4,892738452,166,485
4,877881320,298,143
2,874833878,290,117
4,887736532,307,0
2,879196566,94,545
5,892430094,37,94
2,883748450,101,767
4,875747401,62,276
5,876861185,159,233
3,877052329,49,245
4,882075827,300,97
4,879539727,224,192
4,880731963,289,87
3,884238860,96,193
4,886890835,156,273
1,878962623,180,1080
5,891295330,277,602
1,874791932,275,795
4,891350932,6,31
4,877888877,9,15
4,885329322,283,303
2,884114233,200,978
3,874791805,275,563
5,875333916,286,326
5,884921594,245,200
5,879741196,241,1136
5,879641194,248,240
5,886519097,98,3
3,882823437,177,331
4,886271884,250,99
2,876535131,80,431
4,890618898,259,321
5,885853415,24,180
5,888205088,58,195
2,880037164,71,678
4,879877127,86,383
5,880474293,289,142
5,881107687,41,422
4,881103977,291,514
3,881171009,114,19
1,879667584,19,287
4,884112673,200,218
3,882141053,12,525
4,884920949,245,918
5,879024232,137,25
1,892738341,166,231
5,883326620,59,426
5,883698581,56,303
4,891550094,222,273
4,893277702,188,511
3,879987440,242,14
1,890251826,91,1048
3,884923047,245,415
4,879546723,193,164
2,887249482,240,689
4,882823954,177,247
3,886475558,253,1443
3,888906576,292,4
5,884364867,126,228
5,879539643,224,236
3,878192429,298,228
5,879540748,224,479
3,874791025,275,53
5,874835091,290,143
4,878183381,221,365
5,878971773,266,517
3,881108684,41,402
4,891903862,10,110
4,888954412,94,624
4,879361873,7,337
4,877635573,161,24
4,879876194,86,1015
5,875296291,278,153
2,885557505,144,274
5,874781198,118,1152
4,879373848,61,497
3,879375537,61,381
